ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,1045,17,1003,15,10,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,886,30,820,16,20,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,1131,33,1019,22,57,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,427,8,401,8,10,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,1324,35,1203,20,66,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,1035,15,966,13,41,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,1409,18,1333,21,37,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,2031,22,1902,36,71,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,1195,16,1119,19,41,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,1569,15,1470,33,51,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,2042,34,1914,44,50,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,1169,22,1084,21,42,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,805,17,755,19,14,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,1249,30,1178,15,26,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,1604,33,1496,30,45,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,1659,30,1561,22,46,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,1034,9,964,18,43,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1667,28,1570,35,34,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,2189,37,2056,44,52,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,1570,42,1448,24,56,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3017,75,2788,56,98,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3190,113,2909,65,103,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,2902,41,2689,48,124,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,855,26,787,13,29,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,1853,41,1694,29,89,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,2125,49,1939,53,84,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,368,8,330,9,21,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,554,9,524,7,14,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,2880,48,2705,40,87,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,1441,34,1345,18,44,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,1570,17,1491,12,50,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,1807,33,1647,31,96,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,1370,17,1302,33,18,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,1833,21,1735,25,52,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,1703,21,1617,17,48,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,1386,28,1285,25,48,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1520,21,1427,30,42,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,2021,48,1856,51,66,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,1284,19,1200,23,42,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,1492,17,1397,37,41,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,1302,14,1226,32,30,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,1939,36,1809,38,56,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,2454,39,2304,46,65,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1434,44,1321,23,46,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,2714,36,2526,55,97,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,1115,11,1046,16,42,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,2992,54,2814,55,69,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,1214,17,1124,21,52,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,2157,78,1996,35,48,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,2585,109,2349,34,93,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,816,23,741,16,36,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,377,9,346,8,14,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,605,12,553,15,25,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,558,16,515,18,9,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,697,38,637,9,13,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,933,10,879,15,29,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,1868,26,1738,32,72,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,1704,31,1590,36,47,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,303,10,282,4,7,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,371,9,339,11,12,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,368,10,343,4,11,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,1193,18,1117,22,36,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,1579,33,1469,31,46,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,1661,48,1527,40,46,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,221,4,212,3,2,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,1227,27,1146,16,38,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,1028,17,974,16,21,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,876,22,801,18,35,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,2385,128,2195,24,38,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,1036,14,980,19,23,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,3304,40,3055,56,153,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,1467,31,1382,27,27,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,1855,25,1744,35,51,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,1045,15,953,29,48,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,2404,42,2275,41,46,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,878,13,829,22,14,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1655,51,1538,27,39,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1441,53,1325,22,41,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,799,38,728,15,18,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,642,29,573,10,30,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,1771,29,1661,21,60,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,2105,41,1949,45,70,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,614,17,564,16,17,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,843,20,780,26,17,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,2004,24,1886,42,52,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,2537,57,2363,47,70,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,2283,43,2125,37,78,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,853,25,770,21,37,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,501,32,457,5,7,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,426,14,383,9,20,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,773,10,735,9,19,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,808,23,744,20,21,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,1771,30,1634,47,60,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,3613,175,3184,94,160,
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,1444,57,1333,19,35,
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,985,34,892,23,36,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,604,4,582,10,8,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,1590,16,1491,26,57,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,197,8,173,4,12,
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,972,11,900,19,42,
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,946,23,876,20,27,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,1234,19,1171,20,24,
