ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,1083,20,1009,16,38
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,924,21,839,17,47
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,1160,18,1056,22,64
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,442,10,409,8,15
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,1365,32,1253,20,60
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,1072,15,983,13,61
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,1448,23,1347,23,55
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,2129,52,1919,39,119
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,1218,16,1138,19,45
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,1597,22,1487,33,55
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,2097,53,1933,44,67
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,1222,31,1098,22,71
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,833,22,768,19,24
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,1283,37,1203,16,27
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,1659,37,1534,30,58
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,1717,37,1580,22,78
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,1075,12,976,21,66
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,1764,52,1583,37,92
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,2258,46,2090,46,76
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,1614,42,1479,24,69
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,3096,104,2823,56,113
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,3325,157,2971,67,130
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,3020,55,2731,51,183
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,892,27,812,13,40
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,1915,27,1752,31,105
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,2199,51,1980,53,115
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,376,11,332,9,24
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,572,11,532,7,22
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,2992,56,2758,40,138
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,1490,30,1367,18,75
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,1623,26,1511,13,73
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,1873,31,1692,32,118
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,1422,22,1320,33,47
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,1903,32,1758,26,87
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,1789,38,1646,18,87
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,1424,27,1296,27,74
